observation_date,CPALTT01JPQ657N
1955-04-01,-0.1792114695055400108714138696
1955-07-01,-0.1077199282087359932802428375
1955-10-01,-0.5751258088229879161801250120
1956-01-01,0.1084598699361779966521268648
1956-04-01,1.0473094979649000269006364761
1956-07-01,-0.1786990708014150053273283447
1956-10-01,0.5012531329349320108335064106
1957-01-01,1.1756323476181200771151225126
1957-04-01,1.2323943662576202218161824931
1957-07-01,1.5304347826051099001887223494
1957-10-01,-1.3703323056149296910177781683
1958-01-01,-1.0767627648797699624338974900
1958-04-01,0.1755617977249160077679590586
1958-07-01,0.8412197687734979112406108470
1958-10-01,0.1042752866519029986136501975
1959-01-01,-0.4861111110845828808812996158
1959-04-01,0.3489183531769110002684897154
1959-07-01,1.0778859526793100886976617403
1959-10-01,0.8943928448525269025992656680
1960-01-01,1.0228435049670199230575917682
1960-04-01,0.9112386091511459618175194919
1960-07-01,0.7357859527219680062515294594
1960-10-01,0.6308100934579580210126437123
1961-01-01,1.7156054106316598328874079016
1961-04-01,0.6811547192173859066599561629
1961-07-01,2.1907216494778998239212342014
1961-10-01,3.4363177809611600288519639435
1962-01-01,1.2191405057525599442413977158
1962-04-01,1.3249021381874899194741601605
1962-07-01,0.8023774146192249601128310132
1962-10-01,1.0023584896999300219988526806
1963-01-01,3.3552313558285100647538001795
1963-04-01,1.6891891891938000114237183880
1963-07-01,0.5537098560816889891711412020
1963-10-01,0.7342143905517560797946430284
1964-01-01,0.3279883381933160757526479756
1964-04-01,1.6709044678651299165039745276
1964-07-01,0.6073597713412649534703291465
1964-10-01,2.4502840908940601849508311716
1965-01-01,1.9757365684840999531246552579
1965-04-01,2.0054384769566802049212128622
1965-07-01,-0.0333222256891448007087852545
1965-10-01,1.9666666660995899551522825277
1966-01-01,1.7652827718057999550893555352
1966-04-01,1.2849341473997599738510189127
1966-07-01,0.0634316526386703993800608714
1966-10-01,0.9825673534970590372594756445
1967-01-01,1.8832391713093896701280982597
1967-04-01,-0.0616142947533147994354507659
1967-07-01,0.4007398275702379053520019170
1967-10-01,3.2545287069622794717815850163
1968-01-01,1.6057091887833399024287928114
1968-04-01,0.2341234997690579966445056925
1968-07-01,0.7591240875392690767853309808
1968-10-01,1.9124891337788700873545622017
1969-01-01,0.4833665057494339056809451449
1969-04-01,1.8109790601076400928803877832
1969-07-01,2.2512506950051300869120041170
1969-10-01,1.2231584673312700939362684949
1970-01-01,2.2428773492575095893641901057
1970-04-01,1.4254385964912399398230036240
1970-07-01,0.2162162162162098999473869299
1970-10-01,2.8047464940669000199591209821
